,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
0,0.5,0.1,1.0,0.25,0.5,0.25,0.0,0.14547765,0.62806375,0.8253645000000001,1.0092902499999998,1.4104752999999997
1,0.5,0.1,1.0,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,1.0,0.25,0.5,0.25,0.1,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,1.0,0.25,0.5,0.25,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
4,0.5,0.1,1.0,0.25,0.5,0.25,0.2,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.25,0.5,0.25,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.5,0.25,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.5,0.25,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.5,0.25,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.5,0.25,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.5,0.25,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.5,0.25,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.5,0.25,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.5,1.5,0.0,0.02191492500000001,0.45034575,0.6056215,0.771918,1.1367072000000005
1,0.5,0.1,1.0,0.25,0.5,1.5,0.05,0.270775975,0.533976,0.6880675,0.8586775,1.2177433000000004
2,0.5,0.1,1.0,0.25,0.5,1.5,0.1,0.331944425,0.613071,0.7910705,0.98456375,1.385091
3,0.5,0.1,1.0,0.25,0.5,1.5,0.15000000000000002,0.4109781499999999,0.6919649999999999,0.844038,0.993292,1.4126659999999995
4,0.5,0.1,1.0,0.25,0.5,1.5,0.2,0.4575499,0.78738,0.966522,1.1599700000000002,1.5872832999999988
5,0.5,0.1,1.0,0.25,0.5,1.5,0.25,0.4903262,0.7987935,0.98274,1.177242,1.604026649999999
6,0.5,0.1,1.0,0.25,0.5,1.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.5,1.5,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.5,1.5,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.5,1.5,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.5,1.5,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.5,1.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.5,1.5,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.5,1.5,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.5,1.5,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.5,0.75,0.0,0.0,0.326317,0.545864,0.7452725,1.117233225
1,0.5,0.1,1.0,0.25,0.5,0.75,0.05,0.34689315,0.6621229999999999,0.83706,1.020459,1.4350237999999989
2,0.5,0.1,1.0,0.25,0.5,0.75,0.1,0.47749525,0.8088035,0.993373,1.192835,1.6142316499999998
3,0.5,0.1,1.0,0.25,0.5,0.75,0.15000000000000002,0.5315743749999999,0.8570015,1.055196,1.3148885000000001,1.8585900000000002
4,0.5,0.1,1.0,0.25,0.5,0.75,0.2,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.25,0.5,0.75,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.5,0.75,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.5,0.75,0.4,0.0,0.0,0.0,0.0,0.0
